filename,Country,VST,Proficiency_Number,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,maas_ttr_aw,maas_ttr_cw,mattr50_aw,mattr50_cw,msttr50_aw,msttr50_cw,hdd42_aw,hdd42_cw,mtld_original_aw,mtld_original_cw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
W_KOR_PTJ0_204_B2_0.txt,KOR,37,4,0.6,0.478070175,0.438596491,0.550458716,0.06437843,0.062459306,0.678324022,0.653333333,0.66,0.63,0.751070887,0.703762125,40.21417323,25.71910112,35.66438566,22.53496504,40.96929825,25.42201835,20.90909091,15.33333333,8.846153846,2.363636364,2.6,1.733333333,0.461538462,0.8,1.363636364,0.6,0.333333333,0.192307692,1.666666667,0.961538462
W_KOR_PTJ0_206_B1_1.txt,KOR,38,2,0.569620253,0.473404255,0.420212766,0.505617978,0.072804672,0.077938956,0.67971223,0.6125,0.633333333,0.58,0.705409873,0.641770231,47,22.25,39.27214006,22.07638889,37.5212766,21.08988764,8.739130435,8.739130435,6.7,1.304347826,1.652173913,1.304347826,0.2,0.260869565,1,0.260869565,0,0,1.086956522,0.833333333
W_KOR_PTJ0_212_B2_0.txt,KOR,38,4,0.606060606,0.440528634,0.436123348,0.6,0.064925219,0.055462187,0.731460674,0.723137255,0.73,0.69,0.752382984,0.736311958,47.35430464,50,46.8060707,38.67647059,46.88105727,41.3,21.27272727,16.71428571,9,2.363636364,2.571428571,1.857142857,0.461538462,0.857142857,1.272727273,0.5,0.571428571,0.307692308,2,1.076923077
W_KOR_PTJ0_213_B2_0.txt,KOR,41,4,0.681318681,0.586387435,0.476439791,0.553571429,0.061884484,0.0611594,0.72915493,0.705714286,0.7,0.69,0.745049755,0.703020506,43.58090803,30.0359656,47.50937761,26.99390824,45.52879581,30.11607143,10.73684211,9.272727273,9.714285714,1.105263158,1.545454545,0.954545455,0.047619048,0.045454545,1.157894737,0.045454545,0.136363636,0.142857143,1.136363636,1.19047619
W_KOR_PTJ0_215_B2_0.txt,KOR,32,4,0.536585366,0.452736318,0.407960199,0.483516484,0.07340308,0.082230748,0.633289474,0.555238095,0.635,0.52,0.693163927,0.62617499,29.82675439,18.98344371,28.40708149,16.59189189,31.2039801,19.46153846,16.07692308,16.07692308,7.740740741,2.076923077,3.076923077,2.076923077,0.481481481,1,1,0.769230769,0,0,1.615384615,0.777777778
W_KOR_PTJ0_217_B1_2.txt,KOR,37,3,0.642201835,0.516949153,0.461864407,0.573770492,0.059581371,0.055425564,0.752834225,0.710136986,0.755,0.73,0.776438716,0.74883564,59,42.86922061,51.99468864,39.49323593,49.84745763,38.77868852,17.35714286,15.1875,11.04545455,1.571428571,2.5625,1.375,0.272727273,0.375,1.142857143,0.375,0.5,0.363636364,1.9375,1.409090909
W_KOR_PTJ0_219_B2_0.txt,KOR,43,4,0.647727273,0.572864322,0.442211055,0.5,0.067055594,0.071151059,0.735066667,0.678153846,0.72,0.67,0.747979841,0.690335758,49.75,30.69230769,51.89695541,35.91480502,49.98492462,33.92105263,12.625,12.625,10.63157895,1.1875,1.6875,1.1875,0.157894737,0.1875,1,0.1875,0.375,0.315789474,1.0625,0.894736842
W_KOR_PTJ0_227_B2_0.txt,KOR,30,4,0.6,0.511111111,0.388888889,0.456521739,0.080643723,0.088303342,0.65221374,0.571162791,0.633333333,0.5,0.701118178,0.605303011,36.674889,18.60322855,33.70448718,18.44962609,34.22222222,19.38043478,13.85714286,13.85714286,8.818181818,1.571428571,2.642857143,1.571428571,0.363636364,0.571428571,1,0.428571429,0.285714286,0.181818182,1.928571429,1.227272727
W_KOR_PTJ0_228_B2_0.txt,KOR,44,4,0.581632653,0.456431535,0.406639004,0.518181818,0.068873918,0.068514126,0.665833333,0.656721311,0.675,0.67,0.721475909,0.702592324,40.65060241,29.61538462,37.09491104,25.51345642,40.72614108,27.71818182,13.83333333,13.10526316,8.3,1.666666667,2.052631579,1.578947368,0.3,0.473684211,1.055555556,0.368421053,0.368421053,0.233333333,1.105263158,0.7
W_KOR_PTJ0_231_B2_0.txt,KOR,44,4,0.606837607,0.457564576,0.431734317,0.572580645,0.061625697,0.055257974,0.731441441,0.7512,0.724,0.71,0.778113669,0.764885079,46.77534247,35.3255814,50.67668523,48.32213636,48.95202952,44.43548387,16.47058824,16.47058824,10,1.647058824,2.588235294,1.647058824,0.392857143,0.647058824,1,0.411764706,0.588235294,0.357142857,2.058823529,1.25
W_KOR_PTJ0_234_B2_0.txt,KOR,41,4,0.628865979,0.512711864,0.411016949,0.504132231,0.068577528,0.068569821,0.681069519,0.646944444,0.66,0.62,0.74460928,0.698062162,39.80722892,26.46875,32.85393428,23.73171521,33.61440678,24.99173554,16.6,14.64705882,9.96,1.666666667,2.058823529,1.470588235,0.32,0.470588235,1.133333333,0.352941176,0.294117647,0.2,2.058823529,1.4
W_KOR_PTJ0_237_B2_0.txt,KOR,37,4,0.601941748,0.467980296,0.507389163,0.652631579,0.05533979,0.047382615,0.752337662,0.779130435,0.755,0.68,0.781333267,0.790302748,62.36363636,54.55882353,57.17856115,64.95025084,53.77339901,54.94736842,16.15384615,16.15384615,8.75,1.846153846,2.615384615,1.846153846,0.416666667,0.769230769,1,0.692307692,0.153846154,0.083333333,2.153846154,1.166666667
W_KOR_PTJ0_240_B2_0.txt,KOR,40,4,0.623853211,0.497835498,0.471861472,0.591304348,0.058386476,0.053736074,0.714945055,0.702727273,0.705,0.68,0.769034968,0.773321035,47.96186441,40.80253432,40.44813962,29.67100694,41.53679654,39.92173913,13.88235294,13.11111111,9.44,1.470588235,2.444444444,1.388888889,0.32,0.444444444,1.058823529,0.388888889,0.111111111,0.08,1.333333333,0.96
W_KOR_PTJ0_244_B2_0.txt,KOR,44,4,0.583333333,0.448148148,0.355555556,0.462809917,0.07596892,0.077131797,0.644705882,0.601111111,0.652,0.6,0.691908866,0.653351172,37.30263158,24.2,31.65742453,20.2700603,33.65185185,23.38842975,21.38461538,16.35294118,10.2962963,2.076923077,2.647058824,1.588235294,0.407407407,0.647058824,1.307692308,0.529411765,0.117647059,0.074074074,1.941176471,1.222222222
W_KOR_PTJ0_245_B2_0.txt,KOR,44,4,0.671875,0.505300353,0.45229682,0.601398601,0.057321868,0.04753823,0.733931624,0.716808511,0.756,0.73,0.763759844,0.765918933,53.65208333,52.27956989,51.01714259,43.71129141,50.46996466,43.33566434,19.53333333,16.27777778,9.451612903,2.066666667,2.222222222,1.722222222,0.451612903,0.777777778,1.2,0.444444444,0.444444444,0.258064516,2.111111111,1.225806452
W_KOR_PTJ0_247_B2_0.txt,KOR,43,4,0.620689655,0.462616822,0.542056075,0.727272727,0.048971495,0.034727086,0.766060606,0.806,0.775,0.84,0.795563662,0.836115377,63.74468085,81.8125,65.95988862,83.66666667,68.56074766,98.09090909,19.72727273,18.08333333,10.33333333,1.909090909,2.583333333,1.75,0.380952381,0.666666667,1.090909091,0.5,0.583333333,0.333333333,1.916666667,1.095238095
