Score,acad_av_delta_p_verb_out_type,acad_av_lemma_construction_freq_type,acad_av_construction_freq_log,DC_C,MLC,CN_C
4,0.029508,12339.46154,4.452921,0.266667,11.566667,1.4
4,0.02417,27663.13044,4.336936,0.314286,9.285714,1.114286
4,0.021864,19521.08571,3.640739,0.431818,9.704545,1.136364
3.5,0.009181,17659.71795,4.199678,0.264706,9.617647,0.852941
4,0.05026,13068.10526,4.320291,0.448276,11.172414,0.862069
3.5,0.00892,32991.22727,4.193302,0.466667,11,1.266667
3.5,0.016973,13008.06667,3.567632,0.484848,10.151515,0.848485
3.5,0.019152,26802.6087,4.389455,0.25,12.25,1.583333
3.5,0.019042,20581.96667,4.098602,0.37931,10.551724,1.068966
4.5,0.043372,19905.63158,4.18215,0.44,9.86,0.76
3,0.028196,27446.75,4.660256,0.454545,12.227273,1.5
3,0.026727,16399.55,4.206301,0.475,9.05,1.025
4,0.018146,15983.8,4.092428,0.530303,7.681818,0.772727
3.5,0.020716,19755.12121,4.178384,0.526316,8.868421,0.605263
4,0.003961,23336.27586,4.187337,0.40625,10.75,1.09375
3.5,0.02511,15369.0303,3.99782,0.590909,8.727273,0.886364
4,0.050581,25760.68966,4.174087,0.333333,9.939394,0.878788
3.5,0.032215,17378.04762,4.305052,0.416667,7.541667,0.875
5,0.03141,20649.97143,3.884687,0.314286,11.771429,1.228571
5,0.024566,15739.52174,3.934419,0.52381,12.309524,1.261905
5,0.01882,16438.76923,3.735177,0.255814,9.348837,0.767442
4.5,0.031119,24730.67857,4.109537,0.390244,10.512195,0.902439
5,0.032082,24432.46154,4.248699,0.205882,12.647059,1.235294
4,0.018223,22578.85294,4.337189,0.210526,9.842105,0.921053
4.5,0.023622,13683.86957,3.989483,0.375,8.84375,0.875
4.5,0.017224,12216.52941,3.566692,0.5,10.434783,1.065217
5,0.044596,10775.53846,3.962694,0.527778,13.361111,1.638889
4,0.050847,21790.64286,4.116923,0.310345,14.068966,1.413793
4,0.028874,22187.24138,4.272144,0.371429,10.171429,0.914286
5,0.039055,15030.69811,3.881562,0.393443,10.836066,1.114754
4,0.014101,23833.0625,4.236319,0.333333,11.166667,1.4
5,0.05209,25249.09091,3.81312,0.285714,11.257143,1.257143
4,0.022311,14271.25,3.715624,0.285714,11.2,1.285714
4,0.030459,22239.5,4.228153,0.40625,10.375,1.03125
5,0.019232,17154.05405,3.714566,0.411765,13,1.470588
4,0.035909,24940.24242,4.363771,0.461538,12.807692,1.346154
4.5,0.0178,18236.77143,4.074101,0.351351,12.702703,1.378378
3.5,0.034819,19139.54762,4.155882,0.5,8.407407,0.611111
4,0.039116,24486.67742,3.902294,0.324324,9.918919,1.135135
5,0.052144,18132.94118,3.848173,0.319149,11.914894,0.957447
4,0.035946,15676.70455,4.052791,0.418605,9.093023,0.883721
5,0.0123,12763.7,4.032094,0.295082,8.327869,0.590164
5,0.03563,11840.70588,4.112136,0.485714,10.457143,1.285714
5,0.020862,20999.6,4.448551,0.288889,9.622222,1.133333
4,0.019235,28432.31579,3.821877,0.464286,11.607143,1.607143
4,0.019832,15511.51111,3.781729,0.35,6.9,0.666667
5,0.033997,23313.76,4.082026,0.095238,20.380952,2.952381
3.5,0.010727,5064.037037,3.788153,0.44,11.6,1.24
5,0.030683,29092.94737,4.185263,0.153846,15.807692,2.153846
5,0.025719,10646.42857,4.26788,0.456522,9.826087,0.847826
4,0.006391,10334.5,4.17362,0.418182,8.636364,0.763636
3.5,0.02291,14087.72093,4.107276,0.326087,9.23913,1
5,0.021912,21494.39394,3.912399,0.411765,10.441176,0.882353
4.5,0.027557,18620.77143,4.153936,0.368421,9.605263,0.815789
4.5,0.013435,22284.73333,4.427359,0.344828,12.241379,1.62069
4,0.022134,18796.84211,4.164001,0.444444,10.027778,1.027778
4.5,0.051752,15061.11539,3.8825,0.32,14.32,1.48
4.5,0.025436,19726.72222,4.184333,0.309524,10.404762,0.928571
5,0.029731,22335.64,4.150398,0.371429,10.657143,1.314286
5,0.01824,17078.8,4.179325,0.294118,10.823529,0.941176
4.5,0.040803,11027,4.117239,0.473684,12.263158,1.421053
4.5,0.011503,19007.64706,4.15483,0.514286,12.085714,1.171429
4.5,0.040867,22673.96875,4.224901,0.228571,11.457143,0.771429
5,0.03293,20952.47059,3.894273,0.580645,13.290323,1.483871
4.5,0.031707,16849.575,4.081154,0.511111,10.422222,0.844444
3,0.006955,10798.05263,3.898891,0.318182,8.454545,0.636364
3.5,0.014419,9891.651163,3.663934,0.292683,9.097561,0.97561
4.5,0.023402,6684.925926,4.185999,0.272727,14.272727,1.636364
4,0.01958,22266.14286,3.87274,0.333333,15.125,1.541667
4,0.012056,11862.08108,3.750304,0.4,8.511111,0.6
3.5,0.029947,20162.4375,3.6602,0.291667,14.666667,1.791667
4,0.025473,12154.44828,3.960988,0.25,10.818182,1.181818
4.5,0.04131,13090.39394,3.873828,0.548387,11.16129,1.387097
3.5,0.008698,14540.34375,4.052831,0.322581,12.419355,1.387097
2.5,0.022804,36095.88235,3.985947,0.25,11.25,1.25
2,0.024427,19937.26667,3.785313,0.473684,10.789474,1.052632
3.5,0.038892,6430.483871,3.869905,0.34375,11.03125,1.0625
4,0.016892,12700.51515,3.915635,0.46875,11.9375,1.0625
3,0.025828,13351.23077,3.755252,0.48,10.84,1.04
3,0.008903,14184.54348,3.890446,0.276596,7.893617,0.765957
3.5,0.01782,15984.11111,4.017038,0.302326,10,0.883721
3,0.01347,13961.22222,3.865047,0.384615,8.512821,0.794872
