Score,frequency_AW,frequency_CW,frequency_FW,bigram_frequency,MLC
2,3.252586288,2.704458028,4.026113084,1.548386247,8.051282
3,3.230363729,2.788045782,3.895478862,1.52720813,8.977778
2.5,3.17648389,2.566561834,3.918823235,1.466554033,12.40625
3.5,3.308426434,2.752642638,3.938766593,1.604563472,8.697674
3,3.287965593,2.784584694,3.844549351,1.513692916,10.807692
2.5,3.31497403,2.645575359,4.149066025,1.472214777,17
3,3.191419766,2.758526091,3.809839302,1.476311291,9
2.5,3.168718021,2.652199737,3.94088677,1.366862924,8.058824
2,3.303189494,2.792417454,3.926176603,1.615458521,8.282051
2,3.334192176,2.853260295,3.85694422,1.507398225,10.121212
3,3.324403564,2.733051479,3.929835462,1.60396345,10.137931
2,3.150932695,2.68993421,3.838884279,1.402826618,8.318182
2,3.240753583,2.74659342,3.921119024,1.515102472,10.105263
3,3.215799238,2.755227526,3.837347469,1.55076037,10.035714
2,3.163918908,2.524691462,3.977481111,1.512582026,11.518519
3,3.384725186,2.761078521,4.018271005,1.643998277,9.931034
2,3.247757307,2.764957767,3.850291133,1.584504387,9.228571
2.5,3.223916822,2.709051797,3.879199582,1.493722297,8.625
2.5,3.383717011,2.83470423,3.927501099,1.475231028,10.416667
1.5,3.177271277,2.78055488,3.854333929,1.457464222,7.138889
2,3.220088044,2.689708043,3.901207624,1.498940083,9.071429
3,3.184643347,2.743516273,3.914199663,1.428506196,15.95
3,3.298239616,2.757754154,4.041984568,1.665281623,9.411765
3,3.25914055,2.692661689,3.853422054,1.522279319,12.451613
3,3.223865454,2.781879216,3.918415256,1.630878327,7.833333
2.5,3.189434643,2.634706971,4.069347503,1.386524589,10.529412
3,3.216232891,2.655387549,3.859440137,1.346805405,11.258065
2.5,3.247168682,2.630530552,4.028650669,1.512992828,16.9375
2,3.232492182,2.81255261,3.95064971,1.577921374,10.380952
3,3.489014189,2.878539655,4.122968513,1.727083554,7.891304
2.5,3.308396826,2.742642709,4.004709586,1.585809497,10.875
3.5,3.397858924,2.807404182,4.028406271,1.619977098,12.533333
3.5,3.185986922,2.573701561,3.993336645,1.601513701,10.517241
3,3.293440536,2.590915684,4.065681594,1.677090541,12.346154
3,3.281092012,2.920040422,3.72350734,1.532872346,8.547619
3,3.199997082,2.659743381,3.864162183,1.448065754,10.538462
2.5,3.314251133,2.746774743,3.981603366,1.435339907,9.083333
3,3.247532279,2.79456397,3.855997173,1.531479077,6.428571
3,3.187446863,2.651399282,3.906332379,1.582460001,7.478261
4,3.264348438,2.713598411,4.04946018,1.499373326,9.475
3,3.296360534,2.830122167,3.92071452,1.498079106,8.588235
3,3.129687512,2.646641442,3.760103569,1.537176778,9.545455
3,3.33660095,2.875188378,3.893845364,1.608667641,9.59375
2.5,3.188499734,2.712832321,3.885407804,1.600562002,12.578947
3,3.277577165,2.825666992,3.747685064,1.478686706,7.234043
3,3.244872294,2.736015443,3.89699952,1.523327339,8.451613
3,3.340023435,2.794116161,4.062547769,1.523829114,10.592593
3,3.251297581,2.615577933,3.953238026,1.522625054,12.666667
3.5,3.160252579,2.640226971,3.907516268,1.469196232,8.525
3,3.207642252,2.789711005,3.827940209,1.356744976,9.233333
2,3.179011488,2.848846424,3.694576934,1.388521302,7.686275
3.5,3.291806763,2.782421775,4.047394495,1.584261941,11.75
3,3.223900203,2.692529888,3.927184444,1.483032414,9.827586
3,3.285366083,2.768276564,4.017909567,1.526424963,9.192308
3,3.260579845,2.77972451,3.981862846,1.470821828,10.65
4,3.090645968,2.412901214,4.095246348,1.443059421,11.764706
3,3.220392447,2.801910097,3.75566057,1.398644124,8.037037
3.5,3.319096635,2.906348889,3.94456822,1.638747452,10.342857
4.5,3.279134424,2.766983745,3.926392337,1.460974731,10.641026
3,3.241697281,2.866459905,3.79335223,1.539742878,7.68
3.5,3.083482404,2.729061205,3.765962896,1.41869711,9.690476
3.5,3.18671232,2.672773203,3.894689674,1.552287225,14.736842
4.5,3.311783198,2.812999832,3.891450353,1.624844975,7.826087
3.5,3.029130846,2.595896274,3.791623694,1.257352764,11.464286
3,3.285760187,2.620741972,4.215274283,1.65804186,13.388889
3.5,3.284649237,2.722994112,3.984133841,1.531249248,9.863636
3.5,3.207284049,2.746399809,3.7998495,1.524377499,8.322581
3.5,3.251593575,2.698520509,3.94615045,1.385109489,10.129032
3.5,3.129802941,2.601051337,3.947786193,1.536099132,11.551724
3.5,3.104270812,2.631970988,3.962997766,1.412043268,10.424242
3,3.31535458,2.754606556,4.069815557,1.538729623,9.62069
3.5,3.25089829,2.826205072,3.838058043,1.51434123,10.447368
3.5,3.295711159,2.641377379,4.047972443,1.62917544,9.210526
3.5,3.258083876,2.754192709,3.926884879,1.599322174,9.354839
3,3.30183721,2.832225487,4.066107268,1.60744005,11
3.5,3.285613519,2.781115116,4.066258417,1.621073552,13.55
4,3.248759606,2.727891864,4.001124122,1.593765284,11.566667
4,3.239153375,2.768955601,3.931855453,1.619339652,9.285714
4,3.18094928,2.687617115,3.905135598,1.557470814,9.704545
3.5,3.202441206,2.649542712,3.902203362,1.561998618,9.617647
4,3.210230769,2.630339674,3.912204201,1.613622531,11.172414
3.5,3.28261341,2.747559252,4.113858264,1.62302342,11
3.5,3.091432532,2.668587688,3.861329276,1.558029882,10.151515
3.5,3.175302925,2.595163758,4.234687491,1.481438328,12.25
3.5,3.145027337,2.687449655,3.913757842,1.38103755,10.551724
4.5,3.151110691,2.523986348,3.937504709,1.43624237,9.86
3,3.211650262,2.732645308,4.015694294,1.435646023,12.227273
3,3.210185867,2.68242734,3.942972888,1.483893625,9.05
4,3.258457922,2.888158176,3.759337053,1.554356458,7.681818
3.5,3.2248882,2.72837641,3.895954917,1.599282494,8.868421
4,3.254364283,2.804300153,3.973697549,1.535453772,10.75
3.5,3.271016797,2.845665621,3.910618934,1.539999691,8.727273
4,3.245438791,2.666370425,3.87866463,1.58223366,9.939394
3.5,3.217232448,2.737366512,3.864008275,1.471742913,7.541667
5,3.20580646,2.598629283,3.979587129,1.535362535,11.771429
5,3.145165491,2.539287065,4.053983131,1.46556197,12.309524
5,3.271640991,2.820727655,3.917950106,1.560076824,9.348837
4.5,3.20113862,2.731693633,3.829859584,1.511734694,10.512195
5,3.062161267,2.500837501,3.923637325,1.351309447,12.647059
4,3.152533677,2.696237088,3.911749849,1.533116696,9.842105
4.5,3.237484103,2.703707252,3.924431703,1.494342528,8.84375
4.5,3.222105365,2.607307454,3.914877645,1.488141495,10.434783
5,3.155229404,2.51205351,4.101076308,1.553611602,13.361111
4,3.336394546,2.713616737,4.162613105,1.544398781,14.068966
4,3.127069158,2.573042027,3.980449659,1.453195853,10.171429
5,3.12896928,2.623088103,3.927729032,1.470130589,10.836066
4,3.210562382,2.556950311,4.096101317,1.561485556,11.166667
5,3.290679732,2.697141945,4.115037769,1.586038156,11.257143
4,3.294195655,2.667846737,4.062359423,1.616388238,11.2
4,3.209592505,2.726349711,4.017848153,1.465542764,10.375
5,3.153310601,2.556297785,4.073546916,1.433674274,13
4,3.284971611,2.668472619,4.034892027,1.591175399,12.807692
4.5,3.255838377,2.759799598,3.959521295,1.599538078,12.702703
3.5,3.192489576,2.727496421,3.77822681,1.369285194,8.407407
4,3.30321392,2.795302423,4.057267143,1.676937096,9.918919
5,2.980947167,2.232240932,4.01401779,1.44746502,11.914894
4,3.148353099,2.656379636,3.874101188,1.43504,9.093023
5,3.160520354,2.633360944,3.912791079,1.449560589,8.327869
5,3.187237795,2.605059217,4.026259864,1.572190023,10.457143
5,3.387347069,2.874785635,4.208803144,1.705784938,9.622222
4,3.263539778,2.616848663,4.157340506,1.552634648,11.607143
4,3.291436359,2.819400315,3.899964753,1.513115412,6.9
5,3.093005918,2.486919485,4.128403574,1.39377822,20.380952
3.5,3.194411558,2.60847875,3.973911455,1.601550376,11.6
5,3.038466381,2.401972258,4.103902196,1.442556122,15.807692
5,3.139192271,2.586292314,3.86914446,1.481502114,9.826087
4,3.320587242,2.812371273,4.029100092,1.615574425,8.636364
3.5,3.346618997,2.792860091,4.006749671,1.63867397,9.23913
5,3.218355368,2.695389608,3.992669014,1.549496649,10.441176
4.5,3.13247509,2.553113421,3.889783558,1.391203177,9.605263
4.5,3.082964774,2.564417982,3.969952708,1.37988167,12.241379
4,3.247216475,2.817527491,3.835703562,1.502821113,10.027778
4.5,3.206777834,2.571182866,4.100433917,1.511600518,14.32
4.5,3.275040164,2.616497804,4.069705805,1.506564243,10.404762
5,3.24624893,2.704283635,4.037116806,1.60169717,10.657143
5,3.207523466,2.647204913,4.111263067,1.466755876,10.823529
4.5,3.095843889,2.460566757,3.973811162,1.342877691,12.263158
4.5,3.301318525,2.723659924,4.1218145,1.650008011,12.085714
4.5,3.192056556,2.63609953,4.060996798,1.525665828,11.457143
5,3.144501457,2.576674513,3.969385193,1.472692197,13.290323
4.5,3.221385025,2.662734687,3.892894018,1.449917715,10.422222
3,3.313789751,2.788591612,3.94182389,1.639104188,8.454545
3.5,3.190217058,2.589093583,3.954502619,1.355133956,9.097561
4.5,3.226874259,2.536907804,4.097546215,1.562699546,14.272727
4,3.17696175,2.633963542,3.950936809,1.408788363,15.125
4,3.186210989,2.63737164,3.954586078,1.478691145,8.511111
3.5,3.270380091,2.631870095,4.059127732,1.547990414,14.666667
4,3.181069704,2.587828841,4.01227724,1.498265109,10.818182
4.5,3.262846453,2.740710993,4.05420801,1.607978172,11.16129
3.5,3.151408575,2.589807615,4.048228713,1.510057477,12.419355
2.5,3.290676589,2.690444572,4.129095914,1.605585488,11.25
2,3.174892381,2.73359511,3.859891129,1.47901103,10.789474
3.5,3.32167112,2.767660346,4.011195319,1.637025302,11.03125
4,3.220161835,2.647441222,3.915608294,1.553739665,11.9375
3,3.21786758,2.722110207,3.89250648,1.563306584,10.84
3,3.314656283,2.732839312,4.090412245,1.533895839,7.893617
3.5,3.153107699,2.700793946,3.867451489,1.567914432,10
3,3.081504197,2.690641106,3.753642595,1.539821028,8.512821
4,3.352270215,2.814581569,3.928365192,1.587812253,8.428571
2,3.228971755,2.757248094,3.857936636,1.739199727,9.052632
2.5,3.181845861,2.630239424,3.890281578,1.522666651,10.037037
4,3.250928083,2.793467178,3.856754686,1.60241351,7.901961
3.5,3.239689223,2.658726211,4.03139372,1.585651376,10.72
3,3.19941111,2.669882707,3.850390982,1.551300158,10.84
4,3.159644148,2.635908596,4.036794747,1.515730903,13.642857
3.5,3.121498428,2.585602724,3.971539889,1.406855124,10.90625
4,3.195367932,2.701562168,3.961493052,1.477430601,10.184211
3,3.159877731,2.657544269,3.82965568,1.509442403,7.47619
5,3.007411922,2.514760957,3.766007212,1.405442624,11.431034
4.5,3.243047691,2.843774462,3.948530466,1.493868981,12
3.5,3.185538651,2.730810553,3.926353962,1.513175394,9.061224
2,3.384504287,3.015112835,3.92833059,1.74924713,7.454545
4,3.233561207,2.759530969,3.983390857,1.541831825,10.15625
2.5,3.275853491,2.799676237,3.859078345,1.604001342,11.333333
3,3.273803305,2.765931643,4.026476416,1.543222734,10.076923
